DAFS,Hour,Hydro,cas.count,minutes.observed,fish.prox,hydro.type,hour.of.period
-1,19,H5,142,59,1,LARS,82
-1,20,H5,84,58,1,LARS,83
-1,21,H5,39,59,1,LARS,84
-1,22,H5,82,59,1,LARS,85
-1,23,H5,50,59,1,LARS,86
0,0,H5,73,59,1,LARS,87
0,1,H5,80,58,1,LARS,88
0,2,H5,18,59,1,LARS,89
0,3,H5,45,59,1,LARS,90
0,4,H5,51,59,1,LARS,91
0,5,H5,57,58,1,LARS,92
0,6,H5,94,59,2,LARS,93
0,7,H5,68,59,2,LARS,94
0,8,H5,103,58,2,LARS,95
0,9,H5,163,58,2,LARS,96
0,10,H5,27,27,2,LARS,97
0,11,H5,83,51,2,LARS,98
0,12,H5,56,59,2,LARS,99
0,13,H5,60,58,2,LARS,100
0,14,H5,93,58,2,LARS,101
0,15,H5,77,59,2,LARS,102
0,16,H5,100,58,2,LARS,103
0,17,H5,107,59,2,LARS,104
0,18,H5,79,57,2,LARS,105
0,19,H5,176,59,2,LARS,106
0,20,H5,207,58,2,LARS,107
0,21,H5,164,59,2,LARS,108
0,22,H5,99,57,2,LARS,109
0,23,H5,137,59,2,LARS,110
1,0,H5,92,58,2,LARS,111
1,1,H5,58,59,2,LARS,112
1,2,H5,92,58,2,LARS,113
1,3,H5,85,58,2,LARS,114
1,4,H5,74,59,2,LARS,115
1,5,H5,44,58,2,LARS,116
1,6,H5,84,58,2,LARS,117
1,7,H5,116,59,2,LARS,118
1,8,H5,128,58,2,LARS,119
1,9,H5,81,58,2,LARS,120
1,10,H5,162,59,2,LARS,121
1,11,H5,80,58,2,LARS,122
1,12,H5,52,58,2,LARS,123
1,13,H5,30,39,2,LARS,124
1,14,H5,94,58,2,LARS,125
1,15,H5,115,58,2,LARS,126
1,16,H5,139,53,2,LARS,127
1,17,H5,62,25,2,LARS,128
1,18,H5,59,49,2,LARS,129
1,19,H5,274,57,2,LARS,130
1,20,H5,257,58,2,LARS,131
1,21,H5,176,58,2,LARS,132
